length_url,length_hostname,ip,nb_dots,nb_slash,http_in_path,google_index,page_rank,Label
37,19,0,3,3,0,1,4,0
77,23,1,1,5,0,1,2,1
126,50,1,4,5,0,1,0,1
18,11,0,2,2,0,0,3,0
55,15,0,2,5,0,0,6,0
32,24,0,3,3,0,1,0,1
19,12,0,2,2,0,0,1,0
81,27,1,2,5,0,1,2,1
42,34,0,2,3,0,0,5,0
104,10,0,1,6,0,0,5,0
56,22,0,3,4,0,0,2,0
43,16,0,2,3,0,0,6,0
83,14,0,1,4,0,0,4,0
31,10,0,2,3,0,1,4,1
25,16,0,2,3,0,0,2,0
51,23,0,3,4,0,0,4,1
31,22,0,2,3,0,0,4,0
50,21,0,2,5,0,1,0,1
34,23,0,2,4,0,1,0,1
27,19,0,2,3,0,0,2,0
63,14,0,3,7,0,0,5,0
66,16,0,2,4,0,0,6,0
40,11,0,2,5,0,1,0,1
48,16,0,1,4,0,0,4,0
126,50,1,4,4,0,1,0,1
41,32,0,2,3,0,1,5,1
36,27,0,2,3,0,0,4,0
72,24,0,2,5,0,0,5,0
68,42,1,4,4,0,1,0,1
163,14,1,4,3,0,1,0,1
26,18,0,2,3,0,0,4,0
64,17,1,2,4,0,1,1,1
36,28,1,4,3,0,1,5,1
61,14,0,2,6,0,1,0,1
66,17,1,2,4,0,0,7,0
35,26,0,2,3,0,0,4,0
113,24,0,5,10,0,0,2,1
41,34,0,2,2,0,0,8,0
23,12,0,2,3,0,0,3,0
31,24,0,2,2,0,0,7,0
84,30,0,2,7,0,1,1,1
29,17,0,2,3,0,1,4,1
98,26,1,2,9,0,1,2,1
15,8,0,1,2,0,0,2,0
65,22,0,2,4,0,0,7,0
131,27,0,2,7,0,1,4,1
50,23,0,2,4,0,0,6,0
51,32,0,2,4,0,1,0,1
45,11,0,3,5,0,0,6,0
159,14,1,2,8,0,1,0,1
44,22,1,2,4,0,1,6,1
103,19,0,3,4,0,1,2,1
46,20,0,4,5,0,1,5,1
45,16,0,2,4,0,0,7,0
51,26,0,3,5,0,1,2,1
38,19,0,3,4,0,1,0,1
81,27,1,2,5,0,1,2,1
112,31,0,2,4,0,0,5,0
39,16,0,2,4,0,0,10,1
99,15,0,2,7,0,1,10,1
45,27,0,2,3,0,1,4,0
60,35,0,5,4,0,1,5,1
74,19,0,3,10,0,0,5,0
61,18,0,3,4,0,0,4,0
40,32,0,4,2,0,0,5,1
52,24,0,3,4,0,1,1,1
88,24,0,7,4,0,1,10,1
74,12,0,2,4,0,0,5,0
46,16,0,2,4,0,1,7,0
54,17,0,3,4,0,0,4,0
54,21,0,1,6,0,1,0,1
38,16,0,2,4,0,1,7,0
67,15,0,2,5,0,0,6,0
62,13,0,5,7,0,1,0,1
59,17,0,3,6,0,1,0,1
57,38,0,4,3,0,1,4,1
32,12,0,1,4,0,0,3,0
46,25,0,2,5,0,1,1,1
37,16,0,2,4,0,0,7,0
36,29,0,2,2,0,1,5,1
